year,Month,precipitation
59-60,1,0.57
59-60,2,0.56
59-60,3,21.32
59-60,4,15.15
59-60,5,19.16
59-60,6,8.91
59-60,7,4.41
59-60,8,6.31
59-60,9,0.20
59-60,10,0.00
59-60,11,0.00
59-60,12,0.00
60-61,1,0.57
60-61,2,1.71
60-61,3,1.40
60-61,4,8.81
60-61,5,9.78
60-61,6,30.65
60-61,7,15.78
60-61,8,11.15
60-61,9,2.28
60-61,10,0.00
60-61,11,0.00
60-61,12,0.00
61-62,1,8.97
61-62,2,32.91
61-62,3,24.18
61-62,4,22.17
61-62,5,8.14
61-62,6,30.92
61-62,7,46.00
61-62,8,36.54
61-62,9,0.40
61-62,10,0.00
61-62,11,0.00
61-62,12,0.00
62-63,1,0.00
62-63,2,0.00
62-63,3,15.37
62-63,4,27.80
62-63,5,22.38
62-63,6,61.74
62-63,7,32.77
62-63,8,4.90
62-63,9,0.67
62-63,10,0.00
62-63,11,0.00
62-63,12,0.00
63-64,1,0.00
63-64,2,0.00
63-64,3,14.29
63-64,4,15.49
63-64,5,9.35
63-64,6,18.96
63-64,7,11.88
63-64,8,3.23
63-64,9,0.00
63-64,10,0.00
63-64,11,0.00
63-64,12,0.00
64-65,1,0.00
64-65,2,1.15
64-65,3,6.59
64-65,4,6.17
64-65,5,19.93
64-65,6,63.71
64-65,7,44.66
64-65,8,29.76
64-65,9,3.63
64-65,10,1.56
64-65,11,3.61
64-65,12,0.00
65-66,1,0.00
65-66,2,11.80
65-66,3,33.74
65-66,4,15.66
65-66,5,8.19
65-66,6,12.49
65-66,7,6.74
65-66,8,11.77
65-66,9,1.94
65-66,10,10.85
65-66,11,10.66
65-66,12,0.00
66-67,1,3.54
66-67,2,3.61
66-67,3,0.05
66-67,4,4.97
66-67,5,42.17
66-67,6,32.97
66-67,7,14.51
66-67,8,9.05
66-67,9,0.14
66-67,10,0.22
66-67,11,0.00
66-67,12,0.00
67-68,1,0.06
67-68,2,0.06
67-68,3,0.00
67-68,4,7.46
67-68,5,7.05
67-68,6,8.84
67-68,7,10.82
67-68,8,10.21
67-68,9,0.40
67-68,10,0.00
67-68,11,0.00
67-68,12,0.00
68-69,1,0.00
68-69,2,10.42
68-69,3,5.28
68-69,4,16.27
68-69,5,28.10
68-69,6,13.95
68-69,7,6.31
68-69,8,5.33
68-69,9,0.00
68-69,10,0.00
68-69,11,0.00
68-69,12,0.00
69-70,1,0.00
69-70,2,0.57
69-70,3,20.18
69-70,4,26.18
69-70,5,10.66
69-70,6,46.62
69-70,7,27.05
69-70,8,2.27
69-70,9,0.13
69-70,10,0.00
69-70,11,0.00
69-70,12,0.00
70-71,1,1.20
70-71,2,6.91
70-71,3,32.75
70-71,4,28.93
70-71,5,6.41
70-71,6,9.21
70-71,7,18.35
70-71,8,40.76
70-71,9,5.09
70-71,10,0.00
70-71,11,0.00
70-71,12,0.00
71-72,1,0.00
71-72,2,0.00
71-72,3,11.47
71-72,4,56.77
71-72,5,36.16
71-72,6,21.73
71-72,7,8.88
71-72,8,19.02
71-72,9,3.89
71-72,10,0.00
71-72,11,0.00
71-72,12,0.00
72-73,1,0.00
72-73,2,0.11
72-73,3,0.05
72-73,4,3.05
72-73,5,5.83
72-73,6,11.60
72-73,7,7.86
72-73,8,10.94
72-73,9,1.61
72-73,10,0.00
72-73,11,0.00
72-73,12,0.00
73-74,1,4.34
73-74,2,7.72
73-74,3,3.11
73-74,4,6.88
73-74,5,4.33
73-74,6,32.64
73-74,7,37.71
73-74,8,40.00
73-74,9,17.56
73-74,10,0.00
73-74,11,0.00
73-74,12,0.00
74-75,1,0.29
74-75,2,0.28
74-75,3,12.55
74-75,4,22.40
74-75,5,19.29
74-75,6,20.23
74-75,7,10.63
74-75,8,13.24
74-75,9,2.08
74-75,10,0.00
74-75,11,0.00
74-75,12,0.00
75-76,1,0.00
75-76,2,1.15
75-76,3,3.56
75-76,4,15.46
75-76,5,6.62
75-76,6,12.32
75-76,7,14.51
75-76,8,12.98
75-76,9,8.02
75-76,10,11.81
75-76,11,0.00
75-76,12,0.00
76-77,1,0.91
76-77,2,1.82
76-77,3,9.52
76-77,4,8.41
76-77,5,12.82
76-77,6,11.03
76-77,7,3.50
76-77,8,0.33
76-77,9,0.00
76-77,10,2.66
76-77,11,1.33
76-77,12,0.00
77-78,1,0.00
77-78,2,0.00
77-78,3,2.33
77-78,4,31.93
77-78,5,36.36
77-78,6,66.43
77-78,7,36.76
77-78,8,4.40
77-78,9,0.00
77-78,10,1.33
77-78,11,0.67
77-78,12,0.00
78-79,1,0.00
78-79,2,3.20
78-79,3,2.66
78-79,4,6.53
78-79,5,4.33
78-79,6,5.33
78-79,7,2.33
78-79,8,0.00
78-79,9,0.67
78-79,10,0.33
78-79,11,0.00
78-79,12,0.00
79-80,1,1.00
79-80,2,7.49
79-80,3,20.81
79-80,4,15.32
79-80,5,7.99
79-80,6,17.32
79-80,7,7.49
79-80,8,3.33
79-80,9,1.67
79-80,10,0.00
79-80,11,0.00
79-80,12,0.00
80-81,1,0.00
80-81,2,0.00
80-81,3,34.30
80-81,4,22.81
80-81,5,4.16
80-81,6,4.66
80-81,7,15.98
80-81,8,8.66
80-81,9,0.83
80-81,10,0.00
80-81,11,0.00
80-81,12,0.00
81-82,1,0.00
81-82,2,13.99
81-82,3,12.32
81-82,4,21.65
81-82,5,12.82
81-82,6,9.66
81-82,7,12.00
81-82,8,14.00
81-82,9,0.00
81-82,10,0.00
81-82,11,0.00
81-82,12,0.00
82-83,1,0.00
82-83,2,0.00
82-83,3,61.00
82-83,4,78.00
82-83,5,6.50
82-83,6,33.00
82-83,7,33.50
82-83,8,0.00
82-83,9,0.00
82-83,10,8.00
82-83,11,0.00
82-83,12,0.00
83-84,1,0.00
83-84,2,0.00
83-84,3,23.00
83-84,4,27.00
83-84,5,2.00
83-84,6,6.50
83-84,7,6.00
83-84,8,2.70
83-84,9,10.20
83-84,10,0.00
83-84,11,0.00
83-84,12,0.00
84-85,1,0.00
84-85,2,0.00
